zm	PCA 1	PCA 2
other_signal	-2.202540698	0.229802805
other_signal	-2.4239451	1.577096569
other_signal	-2.274809568	1.683556197
other_signal	-2.287909607	0.956290508
other_signal	-3.507430541	-1.840239842
other_signal	-2.921614474	0.424901756
other_signal	-3.26440973	-0.536278451
other_signal	-3.212011098	-0.168828457
other_signal	-3.219136257	-0.367598815
other_signal	-1.089660908	3.812653931
other_signal	-2.663057408	-0.692164126
other_signal	-0.966437416	1.011201491
other_signal	-1.912849534	1.745553207
other_signal	-1.912849534	1.745553207
other_signal	-1.929278101	3.445836513
other_signal	-2.356337379	2.021834941
other_signal	-0.748957902	2.319178596
other_signal	0.319459943	-2.983709117
other_signal	-2.851639131	1.990402777
other_signal	-3.128948522	2.460389499
other_signal	-3.383073382	2.001757035
other_signal	-1.708889394	0.828932888
other_signal	-2.883403309	2.091992119
other_signal	-2.611668421	-2.156831936
other_signal	-0.636142688	1.934697215
other_signal	-3.382055712	-1.03452137
other_signal	-2.18794737	-1.790662129
other_signal	-2.652234091	-2.163873103
other_signal	-2.770125826	-0.079638826
other_signal	-2.589428161	0.205972096
other_signal	-2.589428161	0.205972096
other_signal	-2.078288198	-0.049740743
other_signal	-0.863515625	0.412616934
other_signal	-0.873590984	-0.197034813
other_signal	-1.423150973	2.968001971
other_signal	-1.664081247	3.165851009
other_signal	-1.308354263	2.809191103
other_signal	-1.147254554	2.67845635
other_signal	-1.53604808	0.019360124
other_signal	-1.426376087	1.297847001
other_signal	-2.106892563	1.625219519
other_signal	-2.416158958	-1.135440432
other_signal	-2.265980956	1.244395523
other_signal	-2.394271697	0.812770293
other_signal	-1.432660565	-1.596667052
other_signal	-1.285851636	-1.953215091
other_signal	-0.419087305	-0.459543698
other_signal	-1.991791202	-2.501184182
other_signal	-1.553405258	1.301025715
other_signal	-2.853525248	-1.003067363
other_signal	-2.804049045	-0.351380908
other_signal	-1.408458312	0.962109162
other_signal	-2.008581195	3.388660351
other_signal	-1.60143618	0.725340023
other_signal	-2.924902078	-1.884982455
other_signal	-1.464091875	-2.085500789
other_signal	-1.462085776	0.431721979
other_signal	-1.828690352	0.088631997
other_signal	-1.265084863	1.425374669
other_signal	-1.514185393	1.139417818
other_signal	-1.514185393	1.139417818
other_signal	-1.542790135	2.403443623
other_signal	-0.985513826	0.050199372
other_signal	-0.539163751	-1.603933267
other_signal	0.126645525	1.065051419
other_signal	-2.043531771	2.179850267
other_signal	-2.761439399	-0.750713949
other_signal	-0.938505276	2.384287994
other_signal	0.086903253	0.721259896
other_signal	-3.7857407	0.660906767
other_signal	-2.64646901	0.220963589
other_signal	-2.67181056	1.013391654
other_signal	-2.688746513	1.259218681
other_signal	-1.811279637	0.758991551
other_signal	-2.66322598	0.147566186
other_signal	-1.509868379	-0.282006896
other_signal	-0.943081915	1.871870832
other_signal	-2.519436436	0.544728347
other_signal	-2.37897484	0.736924399
other_signal	-2.393827728	0.264494853
other_signal	-2.387776507	0.491384545
other_signal	-1.720851272	0.580235485
other_signal	-2.450495305	0.290013334
other_signal	-3.222038063	-0.063419571
other_signal	-2.160963438	-0.982551129
other_signal	-1.994402129	-1.055465103
other_signal	-0.99302823	0.052290281
other_signal	-1.927301825	-0.817664755
other_signal	-1.989284822	-1.32562734
other_signal	-3.055837757	-1.87983337
other_signal	-2.92105688	-1.874044617
other_signal	-1.942463533	-1.220534621
other_signal	-3.01462852	-0.801574945
other_signal	-2.336598976	-0.35662648
other_signal	-2.187397421	-1.273399835
other_signal	-2.102469434	2.289990753
other_signal	-2.364919837	-0.837900305
other_signal	-0.898578319	-1.191984752
other_signal	-0.830592943	-0.415820441
other_signal	-0.996313063	0.505435827
other_signal	-2.907514511	2.353129824
other_signal	-0.781353892	-0.120003813
other_signal	-2.347239317	0.882543748
other_signal	-1.702514105	-2.365896224
other_signal	-1.803668118	0.848156044
other_signal	-3.484786477	1.710059962
other_signal	-2.743712721	2.735929813
other_signal	-1.987698425	-0.310304149
other_signal	-3.378272706	-2.350082996
other_signal	-1.539442847	1.013463069
other_signal	-0.732244387	2.005230439
other_signal	-0.485471887	1.065872766
other_signal	-1.695500147	0.161571301
other_signal	-1.695500147	0.161571301
other_signal	-1.695500147	0.161571301
other_signal	-1.695500147	0.161571301
other_signal	-1.137152843	-1.022604235
other_signal	-1.379525918	-1.980556983
other_signal	-3.142565138	2.682655808
other_signal	-0.616966014	1.74162273
other_signal	-3.02284145	-1.127008497
other_signal	-2.597366583	2.176989397
other_signal	-2.664907598	2.020223371
other_signal	-2.715275653	-0.193074639
other_signal	-2.720659399	-0.875684108
other_signal	-3.027184522	-0.503763372
other_signal	-2.937681912	-0.709531006
other_signal	-2.460546643	0.445509429
other_signal	-3.547368817	1.292514787
other_signal	-0.926940775	1.087889566
other_signal	-1.734615946	1.180727991
other_signal	0.496253258	0.258537984
other_signal	-2.494544783	0.530175775
other_signal	-0.555315116	-3.454319716
other_signal	-3.441175538	-0.933993371
other_signal	-0.404767942	1.948329029
other_signal	-2.804804243	-2.757846013
other_signal	-0.482811634	2.159952171
other_signal	-1.830388582	0.049525623
other_signal	-1.821200995	1.925720834
other_signal	-2.215080193	1.132195218
other_signal	-2.735464273	-3.284257232
other_signal	-1.497513422	1.820944828
other_signal	-1.497513422	1.820944828
other_signal	-1.497513422	1.820944828
other_signal	-1.493138715	-1.756161028
other_signal	-1.764101186	-2.389280144
other_signal	-3.41449121	-2.36978863
other_signal	-0.992730831	-1.329504958
other_signal	1.97418778	-0.239038947
other_signal	-3.076288676	-2.017735572
other_signal	-0.801871948	0.619808928
other_signal	-1.757196926	1.053781814
other_signal	-2.099535408	-0.77409411
other_signal	-2.8898866	0.065264527
other_signal	-2.484025174	2.083547415
other_signal	-2.632008919	1.863152355
other_signal	-2.584089632	1.229504277
other_signal	-1.540159479	1.850335947
other_signal	-1.204586781	-2.634041187
other_signal	0.188602575	0.840771272
other_signal	-1.901438203	-0.847405288
other_signal	-1.337171246	0.652543212
other_signal	-0.98713143	-1.944391565
other_signal	-2.102441946	-0.546337416
other_signal	-1.34100645	-2.400951868
other_signal	-1.991943892	-0.738720361
other_signal	-3.246940187	-2.820058093
other_signal	-2.847147558	-3.293294426
other_signal	-1.800661426	-2.195935333
other_signal	-2.314941958	0.451395984
other_signal	-0.514031401	-1.126400691
other_signal	-1.639991724	0.846788955
other_signal	-1.898329292	2.472924656
other_signal	-1.563147229	-2.060556337
other_signal	0.711885303	-0.346087799
other_signal	-2.847318647	-2.181532628
other_signal	-2.841929975	-1.941892322
other_signal	-2.849805151	-2.161585876
other_signal	-3.017506804	-1.672762291
other_signal	-2.797691454	0.709690177
other_signal	-2.564413125	0.852783877
other_signal	-1.895884222	-2.543908087
other_signal	-1.615244127	-0.410699297
other_signal	-1.615244127	-0.410699297
other_signal	0.595077584	0.020506542
other_signal	-0.660435076	2.349042061
other_signal	-3.496469417	-2.498466442
other_signal	-3.71821924	-1.773597613
other_signal	-3.0965634	-0.564407496
other_signal	-3.496469417	-2.498466442
other_signal	-3.71821924	-1.773597613
other_signal	-3.708867469	-1.512711518
other_signal	-3.490039995	-2.257396144
other_signal	-1.241175553	0.308209144
other_signal	-3.324281984	-0.119986454
other_signal	-2.181525355	-1.518043773
other_signal	-2.432748093	0.134393028
other_signal	-2.173763839	-2.396399678
other_signal	-2.886493037	1.066900578
other_signal	-2.886493037	1.066900578
other_signal	-3.203952074	-0.134401985
other_signal	-2.394532032	2.760390392
other_signal	-2.886493037	1.066900578
other_signal	-3.246170421	0.7709862
other_signal	-2.969479024	1.28527989
other_signal	-3.246170421	0.7709862
other_signal	-3.246170421	0.7709862
other_signal	-3.087082027	1.151810197
other_signal	-2.399464954	1.821297073
other_signal	-2.399464954	1.821297073
other_signal	-1.918630839	1.718687976
other_signal	-2.399464954	1.821297073
other_signal	-1.699422765	1.928235107
other_signal	-1.270875652	-2.261198523
other_signal	-1.176652784	-2.001390802
other_signal	-1.509651434	-2.410344883
other_signal	-0.989409947	1.016856823
other_signal	-0.535339498	-0.440946774
other_signal	-0.865683879	-0.386916041
other_signal	-1.256187479	-1.897043391
other_signal	-0.788108411	0.394949282
other_signal	-2.259103302	-2.249739468
other_signal	-2.203887624	-1.384257797
other_signal	-1.567423311	0.117156564
other_signal	-1.600110154	-0.954915168
other_signal	-1.316806112	-1.085794867
other_signal	-1.527881779	1.646259779
other_signal	-2.932996145	-0.608232185
other_signal	-3.126039937	-1.156610508
other_signal	-3.092489439	-0.709307234
other_signal	-2.272044421	-1.74541051
other_signal	-0.447366328	4.708096961
other_signal	-1.440936728	-1.754170576
other_signal	-1.604078975	-1.012887805
other_signal	-1.68887925	0.87516151
other_signal	-3.098332536	0.860466126
other_signal	-1.78846928	-3.287749882
other_signal	-2.573997301	-2.580772007
other_signal	-1.270002502	-0.286931111
other_signal	-2.419908487	-2.524038238
other_signal	-2.801564561	-1.100487365
